<<<<<<< HEAD
,0
0,22.91945
1,12.672401
2,155.9431
3,1328.8799
4,57.39825
5,33.09411
6,23.254053
7,840.2307
8,381.20264
9,517.06604
10,46.09916
11,19.432817
12,78.619965
13,31.571358
14,11.049305
15,169.65485
16,21.94484
17,47.701233
18,21.16663
19,31.138353
20,215.50916
21,20.666824
22,295.42224
23,158.43317
24,935.637
25,170.70557
26,18.551617
27,20.114866
28,107.77695
29,201.90332
30,70.195854
31,351.81885
32,112.40419
33,19.107151
34,343.28558
35,937.24677
36,264.25894
37,19.432817
38,365.5712
39,26.562664
40,19.51753
41,23.440563
42,69.7431
43,28.006666
44,32.19993
45,25.971266
46,54.22652
47,199.15659
48,461.8512
49,115.04183
50,59.75611
51,145.89038
52,232.15367
53,19.432817
54,55.515564
55,272.2647
56,26.992058
57,104.75723
58,246.17824
59,36.834015
60,35.66813
61,73.547966
62,65.61762
63,211.87479
64,102.45833
65,371.4665
66,377.1749
67,87.53932
68,28.222029
69,10.918652
70,23.997433
71,51.403778
72,292.19244
73,27.026413
74,293.19467
75,19.398708
76,93.55885
77,43.46192
78,35.933846
79,68.388916
80,44.344788
81,83.102905
82,20.34929
83,334.77853
84,15.601132
85,25.922138
86,50.288918
87,146.69412
88,253.4265
89,66.37788
90,27.720304
91,52.317986
92,92.34636
93,25.672235
94,183.42247
95,662.7334
96,31.49147
97,66.855835
98,21.268288
99,41.24017
100,389.4852
101,477.93848
102,712.17236
103,44.708103
104,24.512474
105,62.398914
106,260.21973
107,574.0276
108,21.608099
109,24.476791
110,77.479805
111,31.658646
112,50.038498
113,14.199792
114,23.836414
115,182.57074
116,61.562576
117,66.25355
118,267.7446
119,28.355328
120,35.412422
121,25.234516
122,59.295773
123,53.189354
124,641.2993
125,104.412155
126,115.25485
127,37.37689
128,34.064445
129,34.861305
130,19.576641
131,34.70305
132,311.14172
133,7.700392
134,31.660606
135,88.49028
136,27.488617
137,89.87456
138,42.094276
139,23.486645
140,46.072937
141,22.498264
142,40.608017
143,28.647118
144,30.416689
145,33.577816
146,52.239204
147,26.279472
148,253.08374
149,78.89117
150,33.9495
151,57.04918
152,21.16663
153,9.957124
154,30.65451
155,24.12416
156,29.05149
157,444.9886
158,76.80695
159,128.17494
160,19.432817
161,55.918102
162,282.05377
163,79.04126
164,335.17487
165,331.65308
166,55.846214
167,30.795437
168,352.78885
169,161.70093
170,292.13885
171,14.931969
172,24.864304
173,57.306396
174,144.26994
175,457.71054
176,605.1984
177,13.666933
178,26.24182
179,32.987118
180,460.27454
181,24.895561
182,50.800346
183,65.2524
184,24.684074
185,363.2785
186,707.6341
187,91.6517
188,59.545025
189,21.12392
190,34.548283
191,33.71071
192,39.502438
193,44.087257
194,165.43423
195,40.424614
196,202.06113
197,337.87152
198,570.0142
199,21.156788
200,24.999378
201,64.0039
202,25.599592
203,20.056604
204,21.43088
205,45.504005
206,95.894806
207,32.85776
208,41.17933
209,212.38629
210,587.0866
211,49.78428
212,42.85574
213,113.72098
214,123.61423
215,160.17517
216,12.832235
217,39.935616
218,29.445297
219,21.666466
220,66.89927
221,390.68677
222,17.629921
223,207.50972
224,30.867014
225,30.702854
226,20.983904
227,196.32837
228,148.87204
229,51.326492
230,119.846886
231,7.873904
232,75.68865
233,31.497131
234,73.12787
235,426.50037
236,87.15223
237,422.53827
238,418.90042
239,39.62738
240,81.41124
241,242.66028
242,35.698116
243,39.89791
244,30.755047
245,432.55173
246,19.310228
247,62.675926
248,377.85028
249,580.4813
