,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.78059953,0.6377619,-0.71915805,0.85329086,0.8780531,-0.11089698,0.9218689,0.29621634,-0.14915536,-0.11649894,0.03482189,0.7333275,0.87730813,-0.7235415,-0.5040581,0.66218376,0.60534,0.05108813,0.078751095,0.7991322,-0.8249025,0.7989112,-0.6251626,-0.251834,-0.017418066,-0.23912434,0.9407987,0.9185543,0.915543,-0.016960945,0.81681263,-0.8057402,0.64868206,-0.78072804,0.087126285,0.78140914,-0.47881415,0.8036716,0.79992795,-0.0054670675,-0.7005285,-0.86312234,-0.9591348,0.9196067,0.7711742,-0.70458144,0.66021395,-0.32212505,-0.6720741,-0.01321102,0.8078633,-0.3709259,-0.11968772,0.7055721,-0.8809414,0.47477123,0.8422675,0.24175288,0.5271365,0.015129971,0.8548224,0.3633236,-0.81494415,0.7525318
1,-0.7805999,0.6377613,-0.7191606,0.853291,0.87805426,-0.11089655,0.921869,0.29622036,-0.14915562,-0.11649703,0.034821507,0.73332816,0.87730825,-0.72354436,-0.504059,0.6621862,0.60534066,0.051087942,0.07875235,0.7991332,-0.8249076,0.79891294,-0.6251667,-0.2518309,-0.017418573,-0.23912789,0.94079906,0.91855466,0.915542,-0.016960626,0.8168122,-0.80573887,0.64868927,-0.78073007,0.087128825,0.7814276,-0.47881368,0.80367196,0.7999307,-0.005467476,-0.70053416,-0.86312175,-0.9591352,0.91960657,0.7711747,-0.70458215,0.66021216,-0.32212812,-0.6720781,-0.013211054,0.8078639,-0.37092832,-0.11968719,0.7055834,-0.8809417,0.47477856,0.8422689,0.24175063,0.5271373,0.015130279,0.8548256,0.36330324,-0.814943,0.7525313
2,-0.5580157,0.23234452,-0.5990241,0.6926818,0.5939482,-0.2387834,0.83506846,0.32261354,-0.20572324,-0.014885721,0.0063855518,0.6735409,0.7440502,-0.45066255,-0.48517147,0.6782585,0.5626296,0.12903664,0.003178059,0.63447684,-0.51852137,0.7734941,-0.82956475,0.096266866,-0.046122674,-0.19440858,0.9310652,0.61486334,0.8544688,-0.01263748,0.7797624,-0.47899017,0.681683,-0.7529082,-0.044820756,0.87644184,-0.4731425,0.7151168,0.74034435,-0.006023676,-0.78547066,-0.6329458,-0.569445,0.87795657,0.37148514,-0.66244906,0.5792737,-0.30469516,-0.52618486,0.0005758579,0.60878676,-0.33824632,-0.1532232,0.84764004,-0.55688363,0.65724146,0.82843083,0.32565576,0.14405733,0.06610605,0.6684226,-0.749986,-0.71027863,0.5466446
3,-0.57245487,0.26159918,-0.65013635,0.7074067,0.6834603,-0.2792926,0.8182626,0.31116155,-0.13592751,-0.009851552,0.0014080745,0.6977945,0.7687468,-0.014516674,-0.57457185,0.64437574,0.61263716,0.17085877,-0.073902674,0.6069757,-0.66069585,0.7539093,-0.7461113,0.1951483,-0.09259965,-0.110613324,0.91830516,0.5414046,0.8306801,-0.0065169153,0.7540326,-0.6470161,0.71770215,-0.6783586,-0.19439152,0.96073234,-0.5201259,0.6567984,0.7336179,-0.010938025,-0.6113119,-0.46688128,-0.7084947,0.6390462,0.4687918,-0.6668732,0.6540814,-0.38707113,-0.38346887,-0.023287171,0.41365144,-0.42766356,-0.13313806,0.92348003,-0.2893341,0.70030946,0.8284246,0.36517456,-0.06040852,0.10498304,0.71812874,-0.7756804,-0.61222625,0.44012997
4,-0.5505361,0.09627856,-0.49265242,0.6852919,0.506014,-0.2629813,0.80969226,0.07153892,-0.20714076,0.025492718,0.0027329929,0.57778734,0.77688867,-0.11110704,-0.37536076,0.41700476,0.5224896,0.17225863,0.008202342,0.48563805,-0.07984799,0.60904723,-0.48646384,-0.05221737,-0.04010035,-0.042218532,0.8919099,0.27765146,0.9125608,-0.028023062,0.76540726,-0.6214876,0.46302974,-0.42715248,-0.100693405,-0.84188396,-0.55486226,0.7623951,0.5178822,-0.012763478,-0.608277,-0.54596317,0.59409904,0.7865433,0.41398025,-0.6402949,0.62995946,-0.039544858,0.1154156,0.010439327,0.63103986,-0.18658374,-0.1798971,0.58855015,-0.56389064,-0.031063853,0.7229983,0.5036033,0.044914775,0.008113653,0.38568133,-0.20839451,-0.746056,0.69980526
5,-0.6671443,0.61706054,-0.9097705,0.848609,0.86552155,-0.074047275,0.9367373,0.5572176,-0.20382674,-0.030737882,-0.0043684584,0.7911049,0.8793807,-0.4942437,-0.5606114,0.61438066,0.6676479,0.022921024,-0.16723521,0.80134547,-0.9385679,0.8038868,-0.83788985,-0.16861434,-0.0328388,-0.4719189,0.959683,0.8508752,0.7945467,-0.0048769275,0.8033673,-0.8225806,0.76348907,-0.7626821,0.040180463,0.98301196,-0.42297137,0.77571684,0.8384607,-0.002443119,-0.67350125,-0.82049346,-0.94634485,0.93136615,0.7841028,-0.50163096,0.63049346,-0.5310806,-0.67525697,-0.015285043,0.71143353,-0.34557796,-0.09647394,0.94098383,-0.8456648,0.5739238,0.8339434,0.25708875,0.67761445,0.035989907,0.3498075,-0.78403157,-0.84641814,0.7159302
6,-0.6671443,0.61706054,-0.9097705,0.848609,0.86552155,-0.074047275,0.9367373,0.5572175,-0.2038268,-0.030737875,-0.004368456,0.7911049,0.87938076,-0.49424362,-0.5606114,0.61438066,0.66764784,0.022921018,-0.16723526,0.80134547,-0.9385679,0.80388683,-0.83788985,-0.16861436,-0.0328388,-0.4719189,0.959683,0.8508751,0.79454684,-0.004876928,0.8033673,-0.8225806,0.7634891,-0.762682,0.040180452,0.98301196,-0.42297137,0.7757169,0.8384607,-0.0024431208,-0.6735012,-0.8204934,-0.94634485,0.93136615,0.78410274,-0.50163096,0.6304935,-0.5310806,-0.67525697,-0.015285045,0.7114336,-0.34557793,-0.09647394,0.9409839,-0.8456648,0.57392377,0.8339435,0.25708875,0.67761445,0.035989888,0.34980747,-0.78403157,-0.8464182,0.7159302
7,-0.5738511,0.6617399,-0.8080112,0.785846,0.68009526,-0.17031357,0.8532069,0.10970785,-0.26767167,-0.18929721,0.22841312,0.709707,0.83821565,-0.53187704,-0.45321035,0.4946914,0.5794868,0.19533375,0.0075257756,0.6459044,-0.87255955,0.7164249,-0.1556343,0.24558568,-0.049994614,-0.18049501,0.20477624,0.88110906,0.8784505,-0.16513899,0.77376837,-0.76561654,0.6735914,-0.41473654,-0.11676079,-0.19026403,-0.6144971,0.6714876,0.54333836,0.15878823,-0.08949171,-0.6119492,-0.9154879,-0.7352528,0.44273183,-0.31113178,0.79153603,-0.2439889,-0.4178888,-0.08968412,0.5552789,-0.61557525,-0.082092434,0.20009924,-0.5393338,0.5423159,0.23653793,0.48347414,0.37260622,0.016227322,0.7834754,0.3115807,-0.63877064,0.7367173
8,-0.70426387,0.74386454,-0.9337542,0.8698997,0.89144313,-0.07378623,0.9276131,0.39003447,-0.12111859,-0.071865804,0.03967312,0.7843009,0.8795452,-0.22331974,-0.5517581,0.5788829,0.6464055,0.032999452,0.008671878,0.7896121,-0.94033366,0.7832035,-0.7850369,-0.06545946,-0.026974196,-0.25187856,0.9086863,0.86736935,0.8989246,-0.022745624,0.7746858,-0.85204387,0.62298644,-0.72414565,0.05848459,0.88602746,-0.49817982,0.78482586,0.7751429,-0.0063487277,-0.60731417,-0.70906264,-0.9482697,0.66548103,0.80288774,-0.26883692,0.6963102,-0.48383242,-0.6473729,-0.024299322,0.7026283,-0.45077413,-0.075688384,0.9309828,-0.84507114,0.4968108,0.80085576,0.13988477,0.6437238,0.016825132,0.29374787,0.015070745,-0.81127465,0.73248833
9,-0.70434004,0.7437815,-0.93372625,0.8699125,0.8915047,-0.07378646,0.92762876,0.39002222,-0.12108133,-0.071897455,0.039692253,0.78427184,0.8795753,-0.22388904,-0.55176604,0.578875,0.64640105,0.033011403,0.008786481,0.7896845,-0.9403287,0.7832255,-0.7849866,-0.06566703,-0.026970133,-0.25179875,0.9086626,0.8674446,0.89893687,-0.022753393,0.77464694,-0.85201424,0.62276286,-0.7242607,0.058661934,0.8862387,-0.49823678,0.78487694,0.7752117,-0.00635507,-0.6073784,-0.7091238,-0.9483013,0.6654619,0.8029653,-0.2691605,0.6963027,-0.48376834,-0.64748317,-0.024304928,0.7027059,-0.45072013,-0.07570182,0.93106055,-0.8450792,0.49695247,0.80091745,0.14007162,0.64361745,0.016823493,0.2940896,0.01661701,-0.81127566,0.73252
