,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0,1.0605944,1.1985036,0.0,0.0,0.0,0.0,0.37605768,0.0,0.0,1.0637817,0.31384796,0.0,0.0,0.72474635,0.0,0.0,0.0,1.1651437,1.5800534,0.0,1.0758789,0.0,0.72181785,0.91398644,1.6325989,0.0,0.96566427,0.0,0.0,0.0,0.9569142,1.6873463,1.0104284,0.76198214,0.85378784,0.0,0.0,0.5610397,0.0,0.0,0.6730707,1.0843667,0.0,0.0,0.7794788,0.6971115,1.5657461,0.716805,1.3049012,0.0,0.0,0.0,0.4816795,0.0,0.5466292,0.5857301,0.0,0.60329604,0.0,0.0,0.0,1.0584744,1.914723
1,0.0,1.0971732,1.299598,0.0,0.0,0.0,0.0,0.32343012,0.0,0.0,1.1673748,0.330583,0.0,0.0,0.76850015,0.0,0.0,0.0,1.2899283,1.6617682,0.0,1.1724598,0.0,0.83952975,1.0320979,1.7586455,0.0,1.1601081,0.0,0.0,0.0,0.9123211,1.8585126,1.1993827,0.85392934,1.0343182,0.0,0.0,0.66775775,0.0,0.0,0.793334,1.16433,0.0,0.0,0.8243287,0.7878557,1.5415559,0.9072588,1.4269236,0.0,0.0,0.0,0.5326669,0.0,0.5688315,0.7092485,0.0,0.55268985,0.0,0.0,0.0,1.2167977,1.9592458
2,0.39441797,0.0,0.0,0.043767475,1.0344516,1.6332649,1.2002295,0.0,1.0886899,0.71331435,0.0,0.0,0.22329278,1.1348468,0.0,0.3180203,1.4365542,1.5379913,0.22570848,0.0,1.1196433,0.0,0.7825934,0.0,0.0,0.0,1.2581851,0.0,1.2718344,0.0,0.91723824,0.0,0.0,0.0849307,0.0,0.0,0.48251116,0.028472504,0.0,0.29505914,0.0,0.0,0.0,0.0,0.97762555,0.0,0.0,0.0,0.0,0.0,1.0824004,0.7948889,1.2164997,0.0,0.20225602,0.0,0.0,0.0,0.0,0.99971235,0.5554592,0.0,0.0,0.0
3,0.0,0.9772816,1.0339329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9361441,0.16547489,0.0,0.0,0.903505,0.0,0.0,0.0,0.9639457,1.4746234,0.0,0.7477008,0.0,0.6326465,0.84380764,1.1765721,0.0,0.8164792,0.0,0.0,0.0,1.0006768,1.2028729,0.7698776,0.79788536,0.6746674,0.0,0.0,0.41709515,0.0,0.0,0.79270756,0.91952705,0.0,0.0,0.7961227,0.749749,1.2608659,0.4856279,1.0894779,0.0,0.0,0.0,0.4147369,0.0,0.6182629,0.5218849,0.0,0.31411156,0.0,0.0,0.0,0.99772495,1.5706621
4,0.0,1.1272169,1.2803644,0.0,0.0,0.0,0.0,0.3304276,0.0,0.0,1.1281751,0.33701706,0.0,0.0,0.8003659,0.0,0.0,0.0,1.2575787,1.636394,0.0,1.1471226,0.0,0.8096644,1.0231483,1.7002549,0.0,1.0923456,0.0,0.0,0.0,0.9583652,1.7790246,1.1348411,0.8337498,0.9688057,0.0,0.0,0.6121323,0.0,0.0,0.7717746,1.1499119,0.0,0.0,0.85009056,0.77320325,1.5623231,0.8497112,1.403326,0.0,0.0,0.0,0.5310895,0.0,0.588025,0.6643623,0.0,0.5671589,0.0,0.0,0.0,1.1847544,1.9369484
5,0.0,1.1161988,1.3186125,0.0,0.0,0.0,0.0,0.30931413,0.0,0.0,1.1774715,0.33489135,0.0,0.0,0.81031275,0.0,0.0,0.0,1.3158481,1.7157894,0.0,1.1761868,0.0,0.88539904,1.0666053,1.7736789,0.0,1.2162962,0.0,0.0,0.0,0.92973375,1.90003,1.2430214,0.89963317,1.0620288,0.0,0.0,0.683259,0.0,0.0,0.8443126,1.2148945,0.0,0.0,0.84996015,0.8406176,1.5323014,0.9188393,1.4768623,0.0,0.0,0.0,0.55728966,0.0,0.61380213,0.74811596,0.0,0.52318734,0.0,0.0,0.0,1.242943,1.9849771
6,0.0,1.0955423,1.1252947,0.0,0.0,0.0,0.0,0.07409783,0.0,0.0,1.0121611,0.22471558,0.0,0.0,0.9422484,0.0,0.0,0.0,1.0553256,1.4939337,0.0,0.90927815,0.0,0.67587495,0.94598895,1.3377733,0.0,0.85254335,0.0,0.0,0.0,1.0424696,1.3099827,0.83224344,0.8249307,0.74925226,0.0,0.0,0.43614498,0.0,0.0,0.80729717,0.9782948,0.0,0.0,0.8605569,0.74308306,1.3967171,0.6133354,1.182192,0.0,0.0,0.0,0.4794535,0.0,0.63247794,0.5452008,0.0,0.42990273,0.0,0.0,0.0,1.0873125,1.6713439
7,0.0,1.1524208,1.3429258,0.0,0.0,0.0,0.0,0.34427422,0.0,0.0,1.1907688,0.36791456,0.0,0.0,0.98323435,0.0,0.0,0.0,1.3294389,2.078111,0.0,1.0774674,0.0,1.129863,1.167129,1.8746806,0.0,1.4622495,0.0,0.0,0.0,1.0207429,2.1411192,1.3833187,1.1299775,1.0754087,0.0,0.0,0.74482745,0.0,0.0,1.0902619,1.4902102,0.0,0.0,0.8621202,1.0418713,1.5156097,0.87502205,1.6873261,0.0,0.0,0.0,0.6639245,0.0,0.86491233,0.9607198,0.0,0.42100385,0.0,0.0,0.0,1.2438704,2.1767979
8,0.0,1.1614832,1.2582599,0.0,0.0,0.0,0.0,0.31881595,0.0,0.0,1.1124617,0.32368356,0.0,0.0,0.8741671,0.0,0.0,0.0,1.2425818,1.672778,0.0,1.1086934,0.0,0.82262295,1.0278187,1.6462557,0.0,1.064791,0.0,0.0,0.0,1.0179368,1.718891,1.1005999,0.87112385,0.91809464,0.0,0.0,0.58585435,0.0,0.0,0.7917848,1.1704689,0.0,0.0,0.88006806,0.80220747,1.5712895,0.78809035,1.4127811,0.0,0.0,0.0,0.54703707,0.0,0.6524599,0.6569885,0.0,0.55271024,0.0,0.0,0.0,1.1576245,1.9516469
9,0.0,1.0396638,1.1087745,0.0,0.0,0.0,0.0,0.14067188,0.0,0.0,1.0004647,0.23197041,0.0,0.0,0.8814768,0.0,0.0,0.0,1.0570706,1.5782344,0.0,0.88847655,0.0,0.71181434,0.90873855,1.3823745,0.0,0.89439815,0.0,0.0,0.0,1.0239248,1.4075851,0.8837735,0.8332413,0.74461097,0.0,0.0,0.4740509,0.0,0.0,0.76684994,1.0345592,0.0,0.0,0.80042547,0.7259716,1.4284244,0.6070651,1.2027425,0.0,0.0,0.0,0.44275546,0.0,0.637209,0.5696331,0.0,0.43872276,0.0,0.0,0.0,1.039884,1.7551203
