,0
0,93.61171
1,111.1021
2,105.2791
3,84.055374
4,74.01867
5,102.050705
6,96.72453
7,102.23363
8,99.05263
9,96.63699
10,92.967636
11,109.75589
12,67.44867
13,357.01917
14,58.92707
15,63.31418
16,105.93824
17,113.74043
18,111.24425
19,106.76014
20,85.48433
21,115.96356
22,105.44601
23,98.247086
24,102.117676
25,128.31952
26,111.24425
27,123.17122
28,85.48433
29,121.65148
30,92.96761
31,115.96358
32,92.97557
33,115.93747
34,109.18642
35,105.44601
36,92.97557
37,102.18082
38,111.24425
39,110.28115
40,92.967636
41,115.96356
42,105.2791
43,98.448204
44,98.48171
45,109.567
46,111.20962
47,92.6138
48,115.39812
49,121.818115
50,92.967636
51,140.76736
52,143.17317
53,111.56055
54,126.434944
55,88.1563
56,101.57793
57,133.20761
58,102.652374
59,123.80507
60,129.14804
61,109.06582
62,130.60771
63,109.06581
64,118.88051
65,56.37953
66,123.80507
67,120.889114
68,137.83467
69,101.57793
70,130.52554
71,113.26645
72,101.57792
