,0
0,55.94954
1,50.943405
2,22.303053
3,69.55881
4,66.83089
5,52.77849
6,108.81018
7,65.22283
8,89.414764
9,74.96106
10,90.92224
11,93.3254
12,90.346634
13,55.01275
14,86.56093
15,50.943405
16,60.58557
17,52.568535
18,90.92224
19,106.56961
20,64.62285
21,62.320694
22,77.330734
23,67.60183
24,82.20584
25,79.09253
26,52.901672
27,74.51003
28,68.421036
29,73.63545
30,68.64407
31,97.357544
32,77.63144
33,52.901672
34,53.615444
35,73.83206
36,130.18079
37,79.481606
38,66.42731
39,106.545166
40,77.42726
41,72.85821
42,77.61621
43,99.870605
44,94.76866
45,62.560493
46,87.053665
47,65.98744
48,65.14446
49,80.86716
50,104.78036
51,74.01229
52,89.30373
53,21.392796
54,99.831
55,52.901672
56,60.037548
57,112.6167
58,77.12182
59,87.98325
60,88.27499
61,87.043915
62,63.153236
63,99.15021
64,75.69033
65,70.86351
66,52.77849
67,97.35747
68,100.03807
69,67.98547
70,93.240005
71,94.800316
72,52.77849
73,82.52133
74,59.84221
75,93.10866
76,74.8461
77,50.965797
78,62.33809
79,69.0084
80,76.075745
81,91.40144
82,93.308655
83,98.39452
84,60.076065
85,52.605774
86,52.77849
87,67.4848
88,53.898544
89,50.965797
90,67.234825
91,60.076065
92,66.002396
93,73.59996
94,78.630104
95,73.88627
96,92.5016
97,88.75995
98,57.73082
99,115.29407
100,92.538956
101,53.49551
102,91.57423
103,62.320694
104,72.48428
105,109.2876
106,76.77401
107,93.828995
108,62.320694
109,62.320694
110,57.53898
111,53.355297
112,83.04959
113,25.590733
114,52.901672
115,71.789276
116,82.270256
117,84.20233
118,70.703224
119,50.83126
120,62.320694
121,64.07413
122,66.07719
123,98.16569
124,82.1819
125,76.685745
126,62.320683
127,67.60184
128,132.38635
129,52.605797
130,77.39084
131,90.47145
132,88.29175
133,80.11452
134,53.89933
135,50.965797
136,50.965797
137,68.12467
138,98.46358
139,82.70796
140,50.965797
141,64.13564
142,68.09207
143,85.97446
144,73.83206
145,84.24574
146,52.605797
147,62.302483
148,84.257675
149,66.32988
150,75.70325
151,84.7702
152,88.31661
153,103.93498
154,101.473755
155,125.56612
156,60.76531
157,82.673584
158,52.901672
159,94.58155
160,145.52321
161,71.19243
162,69.888565
163,104.514145
164,68.346176
165,81.83586
166,52.901672
167,52.77849
168,87.855774
169,62.320694
170,62.33809
171,100.86667
172,87.08328
173,102.72415
174,74.47241
175,70.28488
176,91.857544
177,76.113014
178,62.320683
